events=13158 candidateEvents=13147 candidates=5627121
feat_entryRangePosition p1=-109.640217 p10=26.506677 p25=64.937150 p50=112.739019 p75=181.653576 p90=327.900178 p99=1029.465374 null=0.01%
feat_atrPct p1=0.622522 p10=0.881826 p25=1.103684 p50=1.424289 p75=1.874245 p90=2.486296 p99=4.417901 null=0.00%
feat_return20 p1=-9.849622 p10=-3.184334 p25=-0.286337 p50=2.866171 p75=6.808950 p90=11.784770 p99=28.008450 null=0.00%
feat_gapPct p1=-2.479036 p10=-0.499791 p25=-0.062397 p50=0.000000 p75=0.068259 p90=0.564009 p99=3.091244 null=0.00%
feat_dow p1=1.000000 p10=1.000000 p25=2.000000 p50=3.000000 p75=4.000000 p90=5.000000 p99=5.000000 null=0.00%
feat_hour p1=12.000000 p10=12.000000 p25=12.000000 p50=16.000000 p75=16.000000 p90=20.000000 p99=20.000000 null=0.00%
feat_pairWinRatePrior p1=0.000000 p10=14.285714 p25=20.000000 p50=27.777778 p75=36.842105 p90=45.454545 p99=66.666667 null=19.66%
feat_pairTradesPrior p1=1.000000 p10=2.000000 p25=6.000000 p50=12.000000 p75=23.000000 p90=35.000000 p99=52.000000 null=0.00%
feat_barsSincePairLastFire p1=1.000000 p10=1.000000 p25=1.000000 p50=2.000000 p75=3.000000 p90=5.000000 p99=89.000000 null=0.09%
feat_pairSpreadVolatility20 p1=0.422407 p10=0.661771 p25=0.869954 p50=1.192407 p75=1.673441 p90=2.336597 p99=4.651932 null=0.00%
feat_legVolatilityRatio20 p1=0.814606 p10=0.818078 p25=0.823866 p50=0.833512 p75=0.843159 p90=0.848947 p99=0.852419 null=100.00%
feat_candidatesAtTime p1=117.000000 p10=200.000000 p25=316.000000 p50=761.000000 p75=987.000000 p90=1117.000000 p99=1338.000000 null=0.00%
